Race,1st Quartile,Mean,Median,3rd Quartile,Maximum
Black,40,43,45,54,64
White,34,41,44,51,83
Hispanic,40,40,40,40,40
Native,20,30,35,40,47
Multiracial,30,35,34,39,58
