Race,1st Quartile,Mean,Median,3rd Quartile,Maximum
Indigenous,40,45,48,56,68
Asian,32,41,46,52,64
Hispanic,38,44,42,56,70
Black,40,42,40,48,80
White,30,39,40,50,88
