Race,1st Quartile,Mean,Median,3rd Quartile,Maximum
Black,"$1,065","$1,135","$1,150","$1,344","$1,918"
Hispanic,"$1,160","$1,160","$1,160","$1,160","$1,160"
Multiracial,$729,$778,$825,$944,"$1,162"
Native,$396,$767,$847,"$1,137","$1,362"
White,$875,"$1,283","$1,266","$1,671","$3,079"
