Gender,Race,Count,Percent
Male,White,"135,261",84.86%
Male,Indigenous,"6,206",3.89%
Male,Black,"6,048",3.79%
Male,Hispanic,"4,719",2.96%
Male,Asian,960,0.60%
Female,White,"5,225",3.28%
Female,Hispanic,903,0.57%
Female,Black,77,0.05%
