sex,race,count,total,percent
Female,Black,4,2857,0.001400070003500175
Female,Hispanic,6,2857,0.0021001050052502626
Female,Indigenous,2,2857,7.000350017500875e-4
Female,White,70,2857,0.024501225061253063
Male,Asian,10,2857,0.0035001750087504373
Male,Black,116,2857,0.04060203010150507
Male,Hispanic,60,2857,0.021001050052502624
Male,Indigenous,101,2857,0.03535176758837942
Male,Multiracial,3,2857,0.0010500525026251313
Male,White,2485,2857,0.8697934896744838
