sex,race,count,perc
Male,White,121,0.5931372549019608
Male,Black,10,0.049019607843137254
Male,Indigenous,4,0.0196078431372549
Male,Multiracial,3,0.014705882352941176
Male,Hispanic,1,0.004901960784313725
