Race,Count,Percent
White,4379276.06,0.9014111909857088
Indigenous,184070.69,0.03788831250306271
Hispanic,156259.31,0.03216373866362402
Black,122966.32,0.02531085399588392
Asian,15672.23,0.0032259038517206324
