sex,count,total,percent,project
Male,862996.03,1130966.98,0.763060323830144,Hancock
NA,267970.95,1130966.98,0.236939676169856,Hancock
Female,236684.78,4098205.65,0.05775327062954979,Lakeview
Male,3363818.63,4098205.65,0.8208027896306277,Lakeview
NA,497702.24,4098205.65,0.12144393973982248,Lakeview
Female,183652.41,4858244.61,0.03780221556197023,Expo Center
Male,4674592.2,4858244.61,0.9621977844380297,Expo Center
Female,420830.55,6193196.37,0.06795046125753638,I-690
Male,5772365.82,6193196.37,0.9320495387424637,I-690
