sex,race,count,total,perc
Female,Black,3,515,0.005825242718446602
Female,Hispanic,1,515,0.001941747572815534
Female,White,15,515,0.02912621359223301
Male,Asian,2,515,0.003883495145631068
Male,Black,14,515,0.027184466019417475
Male,Hispanic,5,515,0.009708737864077669
Male,Indigenous,17,515,0.03300970873786408
Male,White,336,515,0.6524271844660194
