sex,count,total,percent,project
Male,27987.5,27987.5,1,Hancock
Female,0,27988,0,Hancock
Female,7911.5,110979.8,0.07128774786042144,Lakeview
Male,103068.3,110979.8,0.9287122521395785,Lakeview
Female,6205.61,159399.55,0.03893116385836723,Expo Center
Male,153193.94,159399.55,0.9610688361416329,Expo Center
Female,12012,173382,0.06928054815378759,I-690
Male,161370,173382,0.9307194518462124,I-690
